uniqid,identifier,Fund_Name,Portfolio_Or_Index,Holding_Date,Holding_Currency,Report_Currency,Denominator_ExchangeRate,Report_ExchangeRate,Holding_VoH_Or_Weight,Report_VoH_Or_Weight,Trucost_UID,Identifier_Type,Identifier_Value,TC_Display_Name,Latest_Year,Accounting_Date,AccountingDate_ExchangeRate,Apportioning_Denominator_CRNCY,Apportioning_Factor,Weight,Revenue_USDm,Revenue_CRNCYm,GICS_Sector_Code,GICS_Sector_Name,GICS_Industry_Group_Code,GICS_Industry_Group_Name,GICS_Industry_Code,GICS_Industry_Name,GICS_Sub_Industry_Code,GICS_Sub_Industry_Name,GICS_Description,Country,Carbon_Scope_1_tonnes_CO2e,Carbon_Scope_2_tonnes_CO2e,Carbon_Scope_3US_tonnes_CO2e,Carbon_Direct_tonnes_CO2e,Carbon_First_Tier_Indirect_tonnes_CO2e,Carbon_DirectPLUSFirst_Tier_Indirect_tCO2e,Carbon_Disclosure,Scope_1_C_DIV_R_Intensity,Scope_2_C_DIV_R_Intensity,Scope_3US_C_DIV_R_Intensity,Direct_C_DIV_R_Intensity,First_Tier_C_DIV_R_Intensity,DirectPLUSFirst_Tier_DIV_R_Intensity,Latest_year_Scope3,Carbon_Scope_3_Upstream_tCO2e,Carbon_Scope_3_Downstream_tCO2e,Scope_3_Latest_Revenue_USDm,Scope_3DS_C_DIV_R_Intensity,Reserves_CO2_emissions_from_Coal_m_tonnes,Reserves_CO2_emissions_from_Oil_m_tonnes,Reserves_CO2_emissions_from_Gas_m_tonnes,Reserves_CO2_emissions_from_Oil_PLUS_Gas_m_tonnes,Total_CO2_From_Reserves_m_tonnes,CAPEX_Coal_CRNCYm,CAPEX_Oil_CRNCYm,CAPEX_Gas_CRNCYm,CAPEX_Oil_AND_Gas_CRNCYm,CAPEX_Other_exploration_CRNCYm,CAPEX_Total_CRNCYm,CAPEX_Revenue_Intensity,Coal_Power_Generation_GWh,Natural_Gas_Power_Generation_GWh,LPG_Power_Generation_GWh,Petroleum_Power_Generation_GWh,LNG_Power_Generation_GWh,Wind_Power_Generation_GWh,Solar_Power_Generation_GWh,Biomass_Power_Generation_GWh,Geothermal_Power_Generation_GWh,Wave_AND_Tidal_Power_Generation_GWh,Hydroelectric_Power_Generation_GWh,Nuclear_Power_Generation_GWh,Landfill_Gas_Power_Generation_GWh,Other_Power_Generation_GWh,Total_FossilFuel_Power_Generation_GWh,Total_Renewable_Power_Generation_GWh,Total_Other_Power_Generation_GWh,Crude_Petroleum_And_Natural_Gas_Extraction,Tar_Sands_Extraction,Natural_Gas_Liquid_Extraction,Bituminous_Coal_And_Lignite_Surface_Mining,Bituminous_Coal_Underground_Mining,Drilling_Oil_And_Gas_Wells,Support_Activities_Oil_And_Gas_Operations,Coal_Power_Generation,Petroleum_Power_Generation,Natural_Gas_Power_Generation,Nuclear_Electric_Power_Generation,Landfill_Gas_Power_Generation,Other_Electric_Power_Generation,Biomass_Power_Generation,Hydroelectric_Power_Generation,Solar_Power_Generation,Wind_Power_Generation,Geothermal_Power_Generation,Wave_And_Tidal_Power_Generation,Total_Coal_Extraction_Revenue_Percentage,Total_Extraction_Revenue_Percentage,Total_Fossil_Fuel_Power_Generation_Revenue_Percentage,Total_Other_Power_Generation_Revenue_Percentage,Total_Renewable_Power_Generation_Revenue_Percentage,Total_Power_Generation_Revenue_Percentage,Total_Fossil_Fuel_E_And_PG_Revenue_Percentage,Total_Coal_E_And_PG_Revenue_Percentage,Coverage_2DA,Annual_Report_Year,Methodology,Intensity_unit,Base_year,Horizon_year,Source_of_forward_looking_data,tCO2e_under_OR_over_1_5C_or_1_75C_carbon_budget_2012_2025,tCO2e_under_OR_over_2C_carbon_budget_2012_2025,tCO2e_under_OR_over_2_7C_or_3C_carbon_budget_2012_2025,tCO2e_under_OR_over_4C_carbon_budget_2012_2025,tCO2e_under_OR_over_5C_carbon_budget_2012_2025,Alignment_base_year_horizon_year,2012_Company_Emissions,2012_Well_Below_2C_Aligned_Emissions,2012_2C_Aligned_Emissions,2013_Company_Emissions,2013_Well_Below_2C_Aligned_Emissions,2013_2C_Aligned_Emissions,2014_Company_Emissions,2014_Well_Below_2C_Aligned_Emissions,2014_2C_Aligned_Emissions,2015_Company_Emissions,2015_Well_Below_2C_Aligned_Emissions,2015_2C_Aligned_Emissions,2016_Company_Emissions,2016_Well_Below_2C_Aligned_Emissions,2016_2C_Aligned_Emissions,2017_Company_Emissions,2017_Well_Below_2C_Aligned_Emissions,2017_2C_Aligned_Emissions,2018_Company_Emissions,2018_Well_Below_2C_Aligned_Emissions,2018_2C_Aligned_Emissions,2019_Company_Emissions,2019_Well_Below_2C_Aligned_Emissions,2019_2C_Aligned_Emissions,2020_Company_Emissions,2020_Well_Below_2C_Aligned_Emissions,2020_2C_Aligned_Emissions,2021_Company_Emissions,2021_Well_Below_2C_Aligned_Emissions,2021_2C_Aligned_Emissions,2022_Company_Emissions,2022_Well_Below_2C_Aligned_Emissions,2022_2C_Aligned_Emissions,2023_Company_Emissions,2023_Well_Below_2C_Aligned_Emissions,2023_2C_Aligned_Emissions,2024_Company_Emissions,2024_Well_Below_2C_Aligned_Emissions,2024_2C_Aligned_Emissions,2025_Company_Emissions,2025_Well_Below_2C_Aligned_Emissions,2025_2C_Aligned_Emissions,Coverage_CEAR,Unpriced_Carbon_Cost_USD_Low_2020,Unpriced_Carbon_Cost_USD_Low_2025,Unpriced_Carbon_Cost_USD_Low_2030,Unpriced_Carbon_Cost_USD_Low_2040,Unpriced_Carbon_Cost_USD_Low_2050,Unpriced_Carbon_Cost_USD_Medium_2020,Unpriced_Carbon_Cost_USD_Medium_2025,Unpriced_Carbon_Cost_USD_Medium_2030,Unpriced_Carbon_Cost_USD_Medium_2040,Unpriced_Carbon_Cost_USD_Medium_2050,Unpriced_Carbon_Cost_USD_High_2020,Unpriced_Carbon_Cost_USD_High_2025,Unpriced_Carbon_Cost_USD_High_2030,Unpriced_Carbon_Cost_USD_High_2040,Unpriced_Carbon_Cost_USD_High_2050,Unpriced_Carbon_Cost_adjusted_EBIT_USD_High_2030,Unpriced_Carbon_Cost_adjusted_EBITDA_USD_High_2030,Unpriced_Carbon_Cost_as_PERCENT_of_EBIT_High_2030,Unpriced_Carbon_Cost_as_PERCENT_of_EBITDA_High_2030,Reduction_of_EBIT_Margin_PERCENT_points_High_2030,Reduction_of_EBITDA_Margin_PERCENT_points_High_2030,EBIT_at_risk_SUPERIOR_10PERCENT_High_2030,EBITDA_at_risk_SUPERIOR_10PERCENT_High_2030,Unpriced_Carbon_Cost_adjusted_EBIT_USD_High_2040,Unpriced_Carbon_Cost_adjusted_EBITDA_USD_High_2040,Unpriced_Carbon_Cost_as_PERCENT_of_EBIT_High_2040,Unpriced_Carbon_Cost_as_PERCENT_of_EBITDA_High_2040,Reduction_of_EBIT_Margin_PERCENT_points_High_2040,Reduction_of_EBITDA_Margin_PERCENT_points_High_2040,EBIT_at_risk_SUPERIOR_10PERCENT_High_2040,EBITDA_at_risk_SUPERIOR_10PERCENT_High_2040,Unpriced_Carbon_Cost_adjusted_EBIT_USD_High_2050,Unpriced_Carbon_Cost_adjusted_EBITDA_USD_High_2050,Unpriced_Carbon_Cost_as_PERCENT_of_EBIT_High_2050,Unpriced_Carbon_Cost_as_PERCENT_of_EBITDA_High_2050,Reduction_of_EBIT_Margin_PERCENT_points_High_2050,Reduction_of_EBITDA_Margin_PERCENT_points_High_2050,EBIT_at_risk_SUPERIOR_10PERCENT_High_2050,EBITDA_at_risk_SUPERIOR_10PERCENT_High_2050,Coverage_Physical_Risk,Data_Quality,"IFNULL(filedb.filedb_tc_6.Asset_Count,1)",Composite_Low_2020,Composite_Low_2030,Composite_Low_2050,Composite_Moderate_2020,Composite_Moderate_2030,Composite_Moderate_2050,Composite_High_2020,Composite_High_2030,Composite_High_2050,Wildfire_Moderate_2020,Wildfire_Moderate_2030,Wildfire_Moderate_2050,Wildfire_High_2020,Wildfire_High_2030,Wildfire_High_2050,Coldwave_Low_2020,Coldwave_Low_2030,Coldwave_Low_2050,Coldwave_Moderate_2020,Coldwave_Moderate_2030,Coldwave_Moderate_2050,Coldwave_High_2020,Coldwave_High_2030,Coldwave_High_2050,Heatwave_Low_2020,Heatwave_Low_2030,Heatwave_Low_2050,Heatwave_Moderate_2020,Heatwave_Moderate_2030,Heatwave_Moderate_2050,Heatwave_High_2020,Heatwave_High_2030,Heatwave_High_2050,WaterStress_Moderate_2020,WaterStress_Moderate_2030,WaterStress_Moderate_2050,WaterStress_High_2020,WaterStress_High_2030,WaterStress_High_2050,SeaLevelRise_Low_2020,Flood_Baseline,Hurricane_Baseline,SensitivityWeightAdjusted_Composite_Low_2020,SensitivityWeightAdjusted_Composite_Low_2030,SensitivityWeightAdjusted_Composite_Low_2050,SensitivityWeightAdjusted_Composite_Moderate_2020,SensitivityWeightAdjusted_Composite_Moderate_2030,SensitivityWeightAdjusted_Composite_Moderate_2050,SensitivityWeightAdjusted_Composite_High_2020,SensitivityWeightAdjusted_Composite_High_2030,SensitivityWeightAdjusted_Composite_High_2050,SensitivityScore_WaterStress,SensitivityScore_Wildfire,SensitivityScore_Heatwave,SensitivityScore_Coldwave,SensitivityScore_CoastalFlood,SensitivityScore_Flood,SensitivityScore_Hurricane
LCIV EM MARKET EQ FND427332019,427332019,LCIV EM MARKET EQ FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42733,ISIN,BMG507361001,Jardine Matheson Holdings Limited,2019,31/12/2019,0.75505,49218.9,0.00203174,0.025,40922,30898.2,20,Industrials,2010,Capital Goods,201050,Industrial Conglomerates,20105010,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries.",BERMUDA,630137,1048070,3679900,630137,2160330,2790470,Estimated data,20.394014205944732,33.920124683815075,119.09771315238268,20.394014205944732,69.9178531081446,90.31186933686375,2018,4081140,20688700,42527,669.5760689604255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA modelled,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,1205500,-6658020,-11345800,-12756500,-13596200,1.5-2°C,3251050,3251050,3251050,3158920,2950220,3070840,3036110,2859180,3097750,2513090,2429920,2740300,1639730,2283800,2680820,1804050,2223050,2716190,1863370,2228770,2834510,1921130,2109660,2792720,1980680,1996910,2751550,2042080,1890190,2682340,2105380,1789180,2614870,2170640,1693560,2549090,2237920,1603050,2484970,2307290,1517380,2422470,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2,29,33,32,29,32,40,29,34,40,1,1,2,1,1,2,11,10,3,11,9,10,11,12,3,13,19,21,13,19,31,13,20,39,16,18,22,16,18,22,1,6,1,14,16,14,14,15,19,14,16,19,1,57,21,21,57,57,57
LCIV EQTY INCOME FND427452019,427452019,LCIV EQTY INCOME FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42745,ISIN,CH0038863350,Nestle SA,2019,31/12/2019,0.75505,261199,0.00038285,0.00970874,93153.4,70335.5,30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202030,Packaged Foods & Meats,"Producers of packaged foods including dairy products, fruit juices, meats, poultry, fish and pet foods.",SWITZERLAND,3291300,3206500,61262100,4105870,35650200,39756000,Exact Value from CDP,46.79433052184591,45.58856685229111,870.9978488150266,58.375515123106936,506.8585854961904,565.2340508578027,2018,70182100,33574500,93446.9,477.3480855431195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Company target,40068800,25408000,16700600,14082900,12528200,>5°C,7108880,7108880,7108880,7812760,6731030,7006220,7627130,5513690,5973740,7412970,5038360,5681920,7356720,4695610,5511890,7171050,4428600,5411000,6599610,4024720,5118570,6655510,3818450,5054780,6711880,3622750,4991780,6876200,3437080,4877490,7044550,3260930,4765820,7217020,3093800,4656700,7393720,2935240,4550080,7574740,2784810,4445900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,64,39,39,40,39,39,40,39,41,42,14,15,15,14,15,15,16,14,14,16,12,11,16,12,10,11,14,15,11,14,17,11,15,22,23,22,23,23,24,24,1,2,3,13,13,13,13,13,13,13,14,14,1,31,10,10,31,31,31
LCIV EQTY INCOME FND427622019,427622019,LCIV EQTY INCOME FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42762,ISIN,DE000BASF111,BASF SE,2019,31/12/2019,0.75505,65163.5,0.0015346,0.00970874,66403.2,50137.7,15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals,"Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries.",GERMANY,17323000,3552000,25602900,17327000,13678700,31005700,Exact Value from CDP,345.5082327899863,70.84484459216253,510.6509163039938,345.5883321413045,272.8227386122291,618.4110707535336,2018,31287100,61238000,73968.4,1221.3954372564326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,107371000,72131400,51680300,45565300,42012000,>5°C,24951700,24951700,24951700,22829100,21129600,21993500,22361000,16999700,18418100,22170000,14462600,16310000,21920000,12375200,14526500,22571000,14500800,17717500,21779000,11184500,14224200,20277000,10002000,13240400,18878600,8944520,12324600,17576700,7998850,11351000,16364500,7153170,10454300,15235900,6396890,9628400,14185200,5720580,8867760,13206900,5115760,8167220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,119,32,32,33,32,32,33,32,33,35,10,10,9,10,10,10,16,14,13,16,12,11,16,13,9,11,13,15,11,14,17,11,15,21,11,12,12,11,12,12,1,2,4,15,14,15,15,15,14,15,15,15,6,50,6,6,50,50,50
LCIV GB EQTY FND427662019,427662019,LCIV GB EQTY FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42766,ISIN,DE0005439004,Continental Aktiengesellschaft,2019,31/12/2019,0.75505,25323.7,0.00394887,0.0178571,49792.8,37596,25,Consumer Discretionary,2510,Automobiles & Components,251010,Auto Components,25101010,Auto Parts & Equipment,Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.,GERMANY,855732,2380000,16973300,856079,8409310,9265390,Exact Value from CDP,22.761243914542177,63.304554253981266,451.46584454974885,22.770470287339172,223.67549766306783,246.44595963835943,2018,19495600,100590000,52405.6,2675.55772924835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,18288600,10201700,5325800,3854870,2969460,>5°C,2506660,2506660,2506660,2571880,2645790,2753960,2693260,2357790,2554530,2842200,2285630,2577580,3064340,2162480,2538400,3184790,2371710,2897820,3306990,2004480,2549260,3452890,1972440,2611070,3605230,1940910,2674380,3764300,1909880,2710270,3930380,1879350,2746660,4103790,1849310,2783530,4284850,1819750,2820890,4473900,1790660,2858760,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,17,29,29,29,29,29,30,29,30,30,6,7,5,6,7,6,16,14,14,16,12,11,16,13,10,11,14,14,11,15,18,11,16,22,7,8,8,7,8,7,1,2,3,14,14,14,14,14,14,14,14,15,1,38,20,20,38,38,38
LCIV SUSTAINABLE EQTY FND427672019,427672019,LCIV SUSTAINABLE EQTY FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42767,ISIN,DE0005552004,Deutsche Post AG,2019,31/12/2019,0.75505,57855,0.00172846,0.0277778,70909.1,53539.9,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries.",GERMANY,6380000,750000,5881000,6403000,2536910,8939910,Exact Value from CDP,119.1634076234434,14.0082375732888,109.84323220820677,119.59299357569093,47.383564003528036,166.976566918044,2018,6704230,0,72640.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,35178200,18523900,8591220,5601530,3824270,>5°C,6126130,6126130,6126130,6313630,6199670,6453130,6300090,5254960,5693420,6563050,4360070,4917000,6490000,4324910,5076750,6780000,4855730,5932870,7273770,5049230,6421530,7334050,4715120,6241770,7394830,4403110,6067040,7456110,4111750,5834900,7517900,3839670,5611630,7580210,3585590,5396920,7643030,3348320,5190410,7706370,3126760,4991810,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,12,33,34,36,33,35,36,33,36,36,14,15,16,14,16,15,16,14,15,16,16,13,16,14,10,11,13,13,11,14,17,11,16,20,11,11,12,11,12,12,1,2,2,20,20,21,20,21,22,20,22,22,1,22,41,41,22,22,22
LCIV SUSTAINABLE EQ EX FD427672019,427672019,LCIV SUSTAINABLE EQ EX FD,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42767,ISIN,DE0005552004,Deutsche Post AG,2019,31/12/2019,0.75505,57855,0.00172846,0.0285714,70909.1,53539.9,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries.",GERMANY,6380000,750000,5881000,6403000,2536910,8939910,Exact Value from CDP,119.1634076234434,14.0082375732888,109.84323220820677,119.59299357569093,47.383564003528036,166.976566918044,2018,6704230,0,72640.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,35178200,18523900,8591220,5601530,3824270,>5°C,6126130,6126130,6126130,6313630,6199670,6453130,6300090,5254960,5693420,6563050,4360070,4917000,6490000,4324910,5076750,6780000,4855730,5932870,7273770,5049230,6421530,7334050,4715120,6241770,7394830,4403110,6067040,7456110,4111750,5834900,7517900,3839670,5611630,7580210,3585590,5396920,7643030,3348320,5190410,7706370,3126760,4991810,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,12,33,34,36,33,35,36,33,36,36,14,15,16,14,16,15,16,14,15,16,16,13,16,14,10,11,13,13,11,14,17,11,16,20,11,11,12,11,12,12,1,2,2,20,20,21,20,21,22,20,22,22,1,22,41,41,22,22,22
LCIV GB EQTY FND427672019,427672019,LCIV GB EQTY FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42767,ISIN,DE0005552004,Deutsche Post AG,2019,31/12/2019,0.75505,57855,0.00172846,0.0178571,70909.1,53539.9,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries.",GERMANY,6380000,750000,5881000,6403000,2536910,8939910,Exact Value from CDP,119.1634076234434,14.0082375732888,109.84323220820677,119.59299357569093,47.383564003528036,166.976566918044,2018,6704230,0,72640.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,35178200,18523900,8591220,5601530,3824270,>5°C,6126130,6126130,6126130,6313630,6199670,6453130,6300090,5254960,5693420,6563050,4360070,4917000,6490000,4324910,5076750,6780000,4855730,5932870,7273770,5049230,6421530,7334050,4715120,6241770,7394830,4403110,6067040,7456110,4111750,5834900,7517900,3839670,5611630,7580210,3585590,5396920,7643030,3348320,5190410,7706370,3126760,4991810,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,12,33,34,36,33,35,36,33,36,36,14,15,16,14,16,15,16,14,15,16,16,13,16,14,10,11,13,13,11,14,17,11,16,20,11,11,12,11,12,12,1,2,2,20,20,21,20,21,22,20,22,22,1,22,41,41,22,22,22
LCIV EQTY INCOME FND427672019,427672019,LCIV EQTY INCOME FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42767,ISIN,DE0005552004,Deutsche Post AG,2019,31/12/2019,0.75505,57855,0.00172846,0.00970874,70909.1,53539.9,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries.",GERMANY,6380000,750000,5881000,6403000,2536910,8939910,Exact Value from CDP,119.1634076234434,14.0082375732888,109.84323220820677,119.59299357569093,47.383564003528036,166.976566918044,2018,6704230,0,72640.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,35178200,18523900,8591220,5601530,3824270,>5°C,6126130,6126130,6126130,6313630,6199670,6453130,6300090,5254960,5693420,6563050,4360070,4917000,6490000,4324910,5076750,6780000,4855730,5932870,7273770,5049230,6421530,7334050,4715120,6241770,7394830,4403110,6067040,7456110,4111750,5834900,7517900,3839670,5611630,7580210,3585590,5396920,7643030,3348320,5190410,7706370,3126760,4991810,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,12,33,34,36,33,35,36,33,36,36,14,15,16,14,16,15,16,14,15,16,16,13,16,14,10,11,13,13,11,14,17,11,16,20,11,11,12,11,12,12,1,2,2,20,20,21,20,21,22,20,22,22,1,22,41,41,22,22,22
LCIV EQTY INCOME FND427682019,427682019,LCIV EQTY INCOME FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42768,ISIN,DE0005557508,Deutsche Telekom AG,2019,31/12/2019,0.75505,212537,0.000470506,0.00970874,92859.9,70113.9,50,Communication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services,Operators of primarily fixed-line telecommunications networks and companies providing both wireless and fixed-line telecommunications services not classified elsewhere. Also includes internet service providers offering internet access to end users.,GERMANY,256476,3440820,4688010,256476,4302300,4558770,Exact Value from CDP,3.6579932021301063,49.07470882189866,66.8627928494895,3.6579932021301063,61.36154933670404,65.01954142457538,2018,4832350,5309930,89288.5,75.73295585217619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Company target,12443300,6203660,2556910,1464700,825649,>5°C,3672160,3672160,3672160,4009610,3492330,3635110,4052620,2830130,3066270,4060870,2776630,3131300,3874630,2005880,2354580,3904220,2162760,2642530,3768120,1912820,2432690,3119430,1740240,2303690,2582420,1583230,2181530,2137850,1440390,2044020,1769810,1310430,1915180,1465140,1192200,1794460,1212910,1084630,1681350,1004110,986775,1575370,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,10,36,36,36,36,38,36,36,37,39,21,22,20,21,21,23,15,11,13,15,13,9,15,12,8,11,14,16,11,14,16,11,14,20,13,12,13,13,13,14,1,3,2,14,14,13,14,15,14,14,14,15,1,33,6,6,33,33,33
LCIV GB EQTY FND427692019,427692019,LCIV GB EQTY FND,P,30/11/2020,GBP,GBP,0.74963,1,100,100,42769,ISIN,DE000BAY0017,Bayer Aktiengesellschaft,2019,31/12/2019,0.75505,67626.7,0.0014787,0.0178571,48747.8,36807.1,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs.",GERMANY,2007590,1770000,7769290,2015710,4096570,6112280,Exact Value from CDP,54.54356994831685,48.0886022307839,211.08160491040326,54.76423754062968,111.29841412254592,166.06264487100015,2018,7189380,471000,46719,12.796458559717072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,GEVA,tCO2e/US$m inflation adjusted gross profits,2012,2025,Sub-Industry trend,-6974700,-26419400,-38027600,-41521500,-43606800,<1.5°C,8342240,8342240,8342240,8221860,8011710,8339260,8720000,6806090,7373980,9350000,6524580,7357990,9300000,6125630,7190500,3780000,5628350,6876880,2969000,5095950,6480940,2927870,4908250,6497440,2887310,4727470,6513980,2847320,4553350,6461570,2807880,4385640,6409570,2768980,4224110,6358000,2730620,4068530,6306840,2692800,3918680,6256090,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,52,35,36,36,35,35,36,35,36,38,10,11,10,10,11,11,16,14,15,16,12,11,16,13,10,11,13,14,11,14,16,11,14,20,18,18,19,18,19,20,1,3,2,9,9,9,9,9,9,9,9,9,2,26,5,5,26,26,26
